Sort Number,Category Name (EN),Category Name (UR),Status,Created Date,Parameters (JSON)
11,Health Workers,ہیلتھ ورکر,Active,"=""2025-08-31""","{""en"":[{""name"":""Health Workers"",""values"":[""Doctor"",""Nurse"",""Physiotherapist"",""Pharmacist"",""Dentist"",""Psychologist"",""Nutritionist"",""Paramedic"",""Caregiver"",""Medical Technician""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Specialization"",""values"":[""General Medicine"",""Pediatrics"",""Cardiology"",""Dermatology"",""Orthopedics"",""Gynecology"",""ENT"",""Dental Care"",""Physiotherapy"",""Mental Health"",""Nutrition"",""Rehabilitation"",""Home Care""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Type"",""values"":[""Consultation"",""Home Visit"",""Patient Care"",""Physiotherapy"",""Nursing Care"",""Elderly Care"",""Child Care"",""Medical Assistance"",""Health Assessment""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Setting"",""values"":[""Clinic"",""Hospital"",""Home Visit"",""Online""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Available Now"",""Same Day"",""By Appointment"",""24/7""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Health Workers"",""values"":[""Doctor"",""Nurse"",""Physiotherapist"",""Pharmacist"",""Dentist"",""Psychologist"",""Nutritionist"",""Paramedic"",""Caregiver"",""Medical Technician""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Specialization"",""values"":[""General Medicine"",""Pediatrics"",""Cardiology"",""Dermatology"",""Orthopedics"",""Gynecology"",""ENT"",""Dental Care"",""Physiotherapy"",""Mental Health"",""Nutrition"",""Rehabilitation"",""Home Care""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Type"",""values"":[""Consultation"",""Home Visit"",""Patient Care"",""Physiotherapy"",""Nursing Care"",""Elderly Care"",""Child Care"",""Medical Assistance"",""Health Assessment""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Setting"",""values"":[""Clinic"",""Hospital"",""Home Visit"",""Online""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Available Now"",""Same Day"",""By Appointment"",""24/7""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
12,Sales Man,سیلز مین,Active,"=""2025-08-31""","{""en"":[{""name"":""Sales Expertise"",""values"":[],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Industry"",""values"":[],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Products Handled"",""values"":[],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Sales Expertise"",""values"":[],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Industry"",""values"":[],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Products Handled"",""values"":[],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
14,Taxi Service,ڈرائیور اور ٹیکسی سروسز,Active,"=""2026-07-11""","{""en"":[{""name"":""Service Type"",""values"":[""Local Taxi"",""Ride Booking"",""Airport Transfer"",""Intercity Travel"",""Outstation"",""Corporate Transport"",""School & Office Transport"",""Wedding & Event Transport"",""Tour & Travel""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Vehicle Type"",""values"":[""Car"",""Rickshaw"",""Van"",""Coaster"",""Bus""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Trip Type"",""values"":[""One Way"",""Round Trip"",""Hourly"",""Daily"",""Monthly""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Local Area"",""Within City"",""Intercity"",""Nationwide""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Seating Capacity"",""values"":[""2–3 Seats"",""4–5 Seats"",""6–7 Seats"",""8–12 Seats"",""13–20 Seats"",""20+ Seats""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Available Now"",""Same Day"",""By Appointment"",""24/7""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Service Type"",""values"":[""Local Taxi"",""Ride Booking"",""Airport Transfer"",""Intercity Travel"",""Outstation"",""Corporate Transport"",""School & Office Transport"",""Wedding & Event Transport"",""Tour & Travel""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Vehicle Type"",""values"":[""Car"",""Rickshaw"",""Van"",""Coaster"",""Bus""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Trip Type"",""values"":[""One Way"",""Round Trip"",""Hourly"",""Daily"",""Monthly""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Local Area"",""Within City"",""Intercity"",""Nationwide""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Seating Capacity"",""values"":[""2–3 Seats"",""4–5 Seats"",""6–7 Seats"",""8–12 Seats"",""13–20 Seats"",""20+ Seats""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Available Now"",""Same Day"",""By Appointment"",""24/7""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
15,Driver,ڈرائیور,Active,"=""2026-06-29""","{""en"":[{""name"":""Vehicle Type"",""values"":[""Car"",""Bike"",""Rickshaw"",""Van"",""Coaster"",""Bus"",""Truck""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Type"",""values"":[""Personal Driver"",""Company Driver"",""School Driver"",""Taxi Driver"",""Delivery Driver"",""Tour Driver"",""Event Driver""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Type"",""values"":[""Full Time"",""Part Time"",""Daily"",""Hourly"",""Trip Based"",""Live-In""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""License Type"",""values"":[""Motorcycle"",""Car / LTV"",""HTV"",""PSV""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Local Area"",""Within City"",""Intercity"",""Nationwide""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Vehicle Type"",""values"":[""Car"",""Bike"",""Rickshaw"",""Van"",""Coaster"",""Bus"",""Truck""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Type"",""values"":[""Personal Driver"",""Company Driver"",""School Driver"",""Taxi Driver"",""Delivery Driver"",""Tour Driver"",""Event Driver""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Type"",""values"":[""Full Time"",""Part Time"",""Daily"",""Hourly"",""Trip Based"",""Live-In""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""License Type"",""values"":[""Motorcycle"",""Car / LTV"",""HTV"",""PSV""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Local Area"",""Within City"",""Intercity"",""Nationwide""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
16,Tyre Services,ٹائر سروسز,Active,"=""2026-06-29""","{""en"":[{""name"":""Vehicle Type"",""values"":[""Car"",""Bike"",""Rickshaw"",""Van"",""Truck"",""Bus"",""Tractor""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Type"",""values"":[""Tyre Repair"",""Puncture Repair"",""Tyre Fitting"",""Tyre Replacement"",""Wheel Balancing"",""Wheel Alignment"",""Tyre Air & Pressure"",""Tyre Inspection"",""Tyre Shop""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Type"",""values"":[""Residential"",""Commercial"",""Workshop"",""Roadside Service"",""Mobile Service"",""Fleet Service""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Tyre Type"",""values"":[""Tubeless"",""Tube Type"",""Run-Flat"",""All-Terrain""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Mobile Service"",""values"":[""Yes"",""No""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Vehicle Type"",""values"":[""Car"",""Bike"",""Rickshaw"",""Van"",""Truck"",""Bus"",""Tractor""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Type"",""values"":[""Tyre Repair"",""Puncture Repair"",""Tyre Fitting"",""Tyre Replacement"",""Wheel Balancing"",""Wheel Alignment"",""Tyre Air & Pressure"",""Tyre Inspection"",""Tyre Shop""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Type"",""values"":[""Residential"",""Commercial"",""Workshop"",""Roadside Service"",""Mobile Service"",""Fleet Service""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Tyre Type"",""values"":[""Tubeless"",""Tube Type"",""Run-Flat"",""All-Terrain""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Mobile Service"",""values"":[""Yes"",""No""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
17,Local Delivery,مقامی ڈیلیوری,Active,"=""2026-06-29""","{""en"":[{""name"":""Delivery Type"",""values"":[""Food & Grocery"",""Parcels & Packages"",""Shopping & Goods"",""General Delivery""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Vehicle Type"",""values"":[""Motorcycle"",""Rickshaw"",""Car"",""Van""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Local Area"",""Within City"",""Multiple Areas""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Delivery Distance"",""values"":[""Up to 5 km"",""5–10 km"",""10–20 km"",""20+ km""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Price Type"",""values"":[""Per Delivery"",""Per Kilometer"",""Hourly"",""Negotiable""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Delivery Type"",""values"":[""Food & Grocery"",""Parcels & Packages"",""Shopping & Goods"",""General Delivery""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Vehicle Type"",""values"":[""Motorcycle"",""Rickshaw"",""Car"",""Van""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Local Area"",""Within City"",""Multiple Areas""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Delivery Distance"",""values"":[""Up to 5 km"",""5–10 km"",""10–20 km"",""20+ km""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Price Type"",""values"":[""Per Delivery"",""Per Kilometer"",""Hourly"",""Negotiable""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
18,Delivery & Logistics Services,لاجسٹکس سروسز,Active,"=""2026-06-29""","{""en"":[{""name"":""Service Type"",""values"":[""Courier Service"",""Parcel Delivery"",""Cargo Transport"",""Goods Transport"",""Goods Transport"",""Warehouse & Storage"",""Warehouse & Storage"",""Pickup & Drop""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Vehicle Type"",""values"":[""Van"",""Pickup"",""Loader"",""Truck"",""Container""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Delivery Type"",""values"":[""Documents"",""Parcels"",""Food & Grocery"",""Shopping & Goods"",""Furniture"",""Household Items"",""Commercial Goods"",""Heavy Goods""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Local Area"",""Within City"",""Intercity"",""Nationwide"",""International"",""Worldwide""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Type"",""values"":[""On Demand"",""Same Day"",""Scheduled"",""Regular / Contract""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Delivery Type"",""values"":[""Documents"",""Parcels"",""Food & Grocery"",""E-commerce Orders"",""Commercial Goods"",""Household Items"",""Heavy Goods""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Service Type"",""values"":[""Courier Service"",""Parcel Delivery"",""Cargo Transport"",""Goods Transport"",""Goods Transport"",""Warehouse & Storage"",""Warehouse & Storage"",""Pickup & Drop""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Vehicle Type"",""values"":[""Van"",""Pickup"",""Loader"",""Truck"",""Container""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Delivery Type"",""values"":[""Documents"",""Parcels"",""Food & Grocery"",""Shopping & Goods"",""Furniture"",""Household Items"",""Commercial Goods"",""Heavy Goods""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Local Area"",""Within City"",""Intercity"",""Nationwide"",""International"",""Worldwide""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Type"",""values"":[""On Demand"",""Same Day"",""Scheduled"",""Regular / Contract""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Delivery Type"",""values"":[""Documents"",""Parcels"",""Food & Grocery"",""E-commerce Orders"",""Commercial Goods"",""Household Items"",""Heavy Goods""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
19,Tutoring & Training,تعلیم و تربیت,Active,"=""2026-06-29""","{""en"":[{""name"":""Service Type"",""values"":[""Academic Tutor"",""Quran Tutor"",""Language Tutor"",""Skill Trainer"",""Test Preparation"",""Professional Coach"",""Fitness Coach"",""Fitness Coach"",""Music Instructor"",""Art Instructor"",""Course Provider"",""Workshop Trainer"",""Corporate Trainer"",""Career Counselor""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Subject / Skill"",""values"":[""Academic Subjects"",""Quran & Islamic Studies"",""Languages"",""Computer & IT"",""Programming"",""Graphic Design"",""Digital Marketing"",""Business & Finance"",""Freelancing"",""Arts & Crafts"",""Music"",""Cooking & Baking"",""Photography & Videography"",""Fitness & Sports"",""Driving"",""Public Speaking"",""Personality Development"",""Exam Preparation"",""Professional Skills"",""Technical Skills"",""Life Skills""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""1–2 Years"",""3–5 Years"",""6–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Learning Mode"",""values"":[""One-on-One"",""Group"",""Workshop"",""Recorded Course"",""Live Course"",""Home Tuition""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Morning"",""Afternoon"",""Evening"",""Weekend"",""Flexible""],""isOptional"":true,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Service Type"",""values"":[""Academic Tutor"",""Quran Tutor"",""Language Tutor"",""Skill Trainer"",""Test Preparation"",""Professional Coach"",""Fitness Coach"",""Fitness Coach"",""Music Instructor"",""Art Instructor"",""Course Provider"",""Workshop Trainer"",""Corporate Trainer"",""Career Counselor""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Subject / Skill"",""values"":[""Academic Subjects"",""Quran & Islamic Studies"",""Languages"",""Computer & IT"",""Programming"",""Graphic Design"",""Digital Marketing"",""Business & Finance"",""Freelancing"",""Arts & Crafts"",""Music"",""Cooking & Baking"",""Photography & Videography"",""Fitness & Sports"",""Driving"",""Public Speaking"",""Personality Development"",""Exam Preparation"",""Professional Skills"",""Technical Skills"",""Life Skills""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""1–2 Years"",""3–5 Years"",""6–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Learning Mode"",""values"":[""One-on-One"",""Group"",""Workshop"",""Recorded Course"",""Live Course"",""Home Tuition""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Morning"",""Afternoon"",""Evening"",""Weekend"",""Flexible""],""isOptional"":true,""allowCustomValue"":false,""allowMultiple"":false}]}"
20,Legal Services,قانونی خدمات,Active,"=""2026-07-06""","{""en"":[{""name"":""Service Type"",""values"":[""Legal Consultation"",""Legal Representation"",""Legal Documentation"",""Legal Notice"",""Case Filing"",""Contract Drafting"",""Legal Research"",""Mediation & Arbitration""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Practice Area"",""values"":[""Civil Law"",""Civil Law"",""Family Law"",""Property Law"",""Corporate & Business Law"",""Tax Law"",""Labour Law"",""Banking & Finance"",""Immigration"",""Consumer Law"",""Cyber Law"",""Intellectual Property""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Client Type"",""values"":[""Individual"",""Business"",""Company"",""Startup"",""Organization""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Setting"",""values"":[""Office"",""Court"",""Client Location"",""Online""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Local Area"",""City"",""Multiple Cities"",""Nationwide""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Service Type"",""values"":[""Legal Consultation"",""Legal Representation"",""Legal Documentation"",""Legal Notice"",""Case Filing"",""Contract Drafting"",""Legal Research"",""Mediation & Arbitration""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Practice Area"",""values"":[""Civil Law"",""Civil Law"",""Family Law"",""Property Law"",""Corporate & Business Law"",""Tax Law"",""Labour Law"",""Banking & Finance"",""Immigration"",""Consumer Law"",""Cyber Law"",""Intellectual Property""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Client Type"",""values"":[""Individual"",""Business"",""Company"",""Startup"",""Organization""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Setting"",""values"":[""Office"",""Court"",""Client Location"",""Online""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Local Area"",""City"",""Multiple Cities"",""Nationwide""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
21,Baker,بیکر,Active,"=""2026-07-06""","{""en"":[{""name"":""Service Type"",""values"":[""Home Baking"",""Bakery Services"",""Custom Cakes"",""Catering"",""Bulk Orders""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Specialization"",""values"":[""Cakes"",""Cupcakes"",""Cookies"",""Brownies"",""Pastries"",""Bread"",""Donuts"",""Desserts"",""Wedding Cakes"",""Birthday Cakes""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Type"",""values"":[""Home Based"",""Bakery"",""Commercial"",""Custom Order"",""Bulk Order""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Area Available In"",""values"":[""Local Area"",""Within City"",""Multiple Areas""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Service Type"",""values"":[""Home Baking"",""Bakery Services"",""Custom Cakes"",""Catering"",""Bulk Orders""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Specialization"",""values"":[""Cakes"",""Cupcakes"",""Cookies"",""Brownies"",""Pastries"",""Bread"",""Donuts"",""Desserts"",""Wedding Cakes"",""Birthday Cakes""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Type"",""values"":[""Home Based"",""Bakery"",""Commercial"",""Custom Order"",""Bulk Order""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Area Available In"",""values"":[""Local Area"",""Within City"",""Multiple Areas""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
22,Chef,شیف,Active,"=""2026-07-06""","{""en"":[{""name"":""Service Type"",""values"":[""Home Chef"",""Restaurant Chef"",""Catering"",""Event Chef"",""Private Dinner"",""Meal Preparation"",""Cooking Classes""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Specialization"",""values"":[""Pakistani Food"",""Desi Food"",""BBQ"",""Fast Food"",""Chinese"",""Continental"",""Italian"",""Baking & Desserts"",""Seafood"",""Healthy Food"",""Traditional Sweets""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Type"",""values"":[""Full Time"",""Part Time"",""Daily"",""Event Based"",""Contract"",""On Demand""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Local Area"",""Within City"",""Multiple Areas""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Available Now"",""Same Day"",""By Appointment"",""Pre-Order""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Service Type"",""values"":[""Home Chef"",""Restaurant Chef"",""Catering"",""Event Chef"",""Private Dinner"",""Meal Preparation"",""Cooking Classes""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Specialization"",""values"":[""Pakistani Food"",""Desi Food"",""BBQ"",""Fast Food"",""Chinese"",""Continental"",""Italian"",""Baking & Desserts"",""Seafood"",""Healthy Food"",""Traditional Sweets""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Type"",""values"":[""Full Time"",""Part Time"",""Daily"",""Event Based"",""Contract"",""On Demand""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Service Area"",""values"":[""Local Area"",""Within City"",""Multiple Areas""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Availability"",""values"":[""Available Now"",""Same Day"",""By Appointment"",""Pre-Order""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
23,Home Repair,گھریلو مرمت,Active,"=""2026-06-24""","{""en"":[{""name"":""Service Type"",""values"":[""Plumbing"",""Electrical"",""Carpentry"",""Painting"",""Masonry"",""Roof Repair"",""Floor & Tile Repair"",""Door & Window Repair"",""AC & Cooling"",""Water Tank & Pump"",""Appliance Repair"",""General Maintenance""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Type"",""values"":[""Residential"",""Commercial"",""Renovation"",""Maintenance"",""Emergency Repair""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Specialization"",""values"":[""Bathroom Repair"",""Kitchen Repair"",""Wall Repair"",""Ceiling Repair"",""Floor Repair"",""Leakage Repair"",""Door & Window Work"",""Electrical Repair"",""Plumbing Repair"",""Roof Repair"",""General Home Repair""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}],""ur"":[{""name"":""Service Type"",""values"":[""Plumbing"",""Electrical"",""Carpentry"",""Painting"",""Masonry"",""Roof Repair"",""Floor & Tile Repair"",""Door & Window Repair"",""AC & Cooling"",""Water Tank & Pump"",""Appliance Repair"",""General Maintenance""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Work Type"",""values"":[""Residential"",""Commercial"",""Renovation"",""Maintenance"",""Emergency Repair""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Specialization"",""values"":[""Bathroom Repair"",""Kitchen Repair"",""Wall Repair"",""Ceiling Repair"",""Floor Repair"",""Leakage Repair"",""Door & Window Work"",""Electrical Repair"",""Plumbing Repair"",""Roof Repair"",""General Home Repair""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false},{""name"":""Experience"",""values"":[""Less than 1 Year"",""1–3 Years"",""3–5 Years"",""5–10 Years"",""10+ Years""],""isOptional"":false,""allowCustomValue"":false,""allowMultiple"":false}]}"
